SoC,R1,R2,R3
1,254.692920349,3045.26545151,60230.3441636
0.98,452.00090428,3455.28205848,29111.7717734
0.96,417.589011655,3687.30641862,25954.1598102
0.94,420.415398381,3575.65219512,27996.5157543
0.92,424.04285861,3346.26944652,26108.8200155
0.9,393.363244458,2977.33436366,40192.0221426
0.84,425.768292358,2871.04158386,21102.8965166
0.8,678.364013323,2399.45767764,7954.12629104
0.76,535.056671456,2901.81955067,7348.49748318
0.72,287.746260288,7262.01585485,9539.50005974
0.68,211.742686739,4258.69640825,23933.8597834
0.64,626.413639247,4481.76435847,9083.82001581
0.6,486.855595597,3808.87118953,33420.8039744
0.56,508.381947741,3174.55225153,18108.7842041
0.52,561.502638552,2771.91687577,25090.0148324
0.48,700.300754577,2111.99121963,28610.3357534
0.44,1082.34731137,2323.43476225,10833.4854696
0.4,897.486291564,2607.42449498,10300.6756525
0.36,834.153534596,2871.00594961,10567.5495741
0.32,537.283805337,2657.58919395,22067.266467
0.28,643.820206281,4063.77843644,12246.6983109
0.24,377.344189188,2360.93210541,23888.8199942
0.2,646.353151407,1501.42460341,18685.8255753
0.18,1211.87139732,1099.58707423,8e-05
0.16,1180.49689647,1004.62976869,8e-05
0.14,653.332976189,943.516705423,8e-05
0.12,419.534509429,818.330152053,8e-05
0.1,248.82569425,667.929826198,8e-05
0.088,178.994846467,592.976074018,8e-05
0.074,124.216725613,496.578249525,8e-05
0.06,90.6997358357,447.474988684,8e-05
0.04,110.139167928,354.08352092,8e-05
