SoC,OCV
1,3.6095982
0.98,3.56945010192364
0.96,3.54791788998194
0.94,3.53572601099977
0.92,3.52791476744059
0.9,3.52204489550055
0.84,3.49212356621527
0.8,3.45485319047447
0.76,3.41679379325269
0.72,3.38549951205781
0.68,3.35308256424352
0.64,3.31304357883342
0.6,3.26883469965295
0.56,3.23323294432267
0.52,3.19968187479699
0.48,3.17106450540524
0.44,3.14684091930288
0.4,3.12416024407224
0.36,3.09751729248749
0.32,3.05874557767539
0.28,3.01734520957675
0.24,2.98895870202473
0.2,2.96254471865224
0.18,2.92537755726344
0.16,2.88252432115408
0.14,2.83321425822771
0.12,2.77967117586631
0.1,2.73028095101443
0.088,2.69806406330701
0.074,2.6495978911286
0.06,2.57696727181812
0.04,2.42673790718783
