SoC,R1,R2,R3
1,0.00264918119582,0.003679376616,0.00186028483632
0.98,0.00149275740139,0.00324276811621,0.00384880717004
0.96,0.00161576975558,0.00303871640154,0.00431705733313
0.94,0.00160490718917,0.00313360413159,0.00400212644021
0.92,0.00159117806513,0.00334840892846,0.00429148448178
0.9,0.00171527895604,0.0037633255534,0.00278775712097
0.84,0.00158472978709,0.00390265280545,0.00530948895315
0.8,0.00099463957705,0.00466967123287,0.0140864743448
0.76,0.00126103968288,0.00386125956358,0.0152474157051
0.72,0.00234487042376,0.0015429157297,0.0117454368921
0.68,0.00318654545141,0.00263101132781,0.00468146788476
0.64,0.00107712803972,0.00250005970765,0.0123346340789
0.6,0.0013858887551,0.0029417320603,0.00335257033374
0.56,0.00132720624384,0.00352953034129,0.00618736159595
0.52,0.00120164652661,0.00404221302223,0.00446574450762
0.48,0.000963482747785,0.005305267554,0.00391626288135
0.44,0.000623392961025,0.00482246313683,0.0103425251502
0.4,0.00075179721589,0.00429722069166,0.0108774996625
0.36,0.00080887710393,0.00390270124425,0.0106027982314
0.32,0.00125581245628,0.00421610628056,0.0050774569701
0.28,0.00104800639793,0.00275720703454,0.0091490451622
0.24,0.00178809615897,0.00474587069492,0.00469029428667
0.2,0.00104389944387,0.0074626980711,0.00599628822835
0.18,0.00055676509635,0.0101898965115,4e-05
0.16,0.000571562447405,0.0111530424849,4e-05
0.14,0.00103274703695,0.0118754426153,4e-05
0.12,0.00160827698349,0.013692124705,4e-05
0.1,0.00271164799652,0.0167752330444,4e-05
0.088,0.00376953699291,0.0188956670981,4e-05
0.074,0.0054318586484,0.0225637721799,4e-05
0.06,0.0074391362784,0.0250397871951,4e-05
0.04,0.0061261375766,0.0316441681971,4e-05
